id,duration,frequency_range,direction
21,0.104489796,2142.553711,43.30692116
21,0.085260771,2390.185547,120.985722
21,0.121179138,2831.616211,-390.4448115
21,0.124807256,2250.219727,-95.98247918
21,0.081768707,2271.75293,154.205038
21,0.15600907,2088.720703,-261.9067621
21,0.183219955,2627.050781,-334.2954571
21,0.130612245,2336.352539,260.100984
21,0.198095238,2379.418945,-369.2444369
21,0.094331066,2627.050781,-195.0919394
21,0.100136054,2487.084961,-12.80711002
21,0.097959184,2573.217773,118.6431562
21,0.215510204,2487.084961,-572.4769408
21,0.112471655,2691.650391,-472.738148
21,0.074376417,1991.821289,-333.9212649
21,0.213333333,1765.722656,-54.67417227
21,0.099773243,2239.453125,318.258988
21,0.114285714,1701.123047,211.0067845
21,0.075464853,2465.551758,-79.95218555
21,0.103401361,1959.521484,-330.7155973
21,0.093605442,2045.654297,21.56778841
21,0.132426304,2680.883789,-270.369826
21,0.119727891,2637.817383,-309.5811168
21,0.074013605,1959.521484,-223.8879873
21,0.226394558,2228.686523,-533.0892377
21,0.094331066,1819.555664,339.7281018
21,0.093605442,2627.050781,-229.7047055
21,0.195918367,2767.016602,-524.4467534
21,0.136054422,2530.151367,-592.6360813
21,0.20462585,2142.553711,-443.8967613
21,0.171972789,2314.819336,-371.1241308
21,0.097959184,1378.125,548.9422123
21,0.201360544,2551.68457,-591.6478878
21,0.101587302,2024.121094,265.7255847
21,0.180680272,2228.686523,-499.1361993
21,0.132063492,2637.817383,-357.0495454
21,0.137142857,3046.948242,-396.6202873
21,0.181405896,2487.084961,-243.0417951
21,0.121904762,2476.318359,-107.8297222
21,0.134240363,2551.68457,-341.5035836
21,0.112653061,2336.352539,70.80986115
21,0.091428571,2347.119141,-471.2134208
21,0.094693878,2239.453125,111.9437101
21,0.090702948,2605.517578,-220.1732909
21,0.163265306,2508.618164,-405.432571
21,0.132063492,2648.583984,-258.5315591
21,0.114285714,2131.787109,154.5638217
21,0.097959184,2336.352539,26.12675857
21,0.203174603,2508.618164,-260.748423
21,0.144761905,2508.618164,-264.3470554
21,0.147301587,2422.485352,-294.3668631
21,0.157460317,2508.618164,-327.9439563
21,0.065306122,2487.084961,-159.1298121
21,0.142222222,2530.151367,-419.6552299
21,0.185034014,2465.551758,-472.6361338
