Category,PCA_0,PCA_1,PCA_2,PCA_3
Contact,-17.91017349,-1.251922554,-0.414677925,4.605429143
Contact,-17.21303396,-1.962605748,0.908968312,7.894908225
Contact,-18.56947757,-3.081670933,1.558180019,5.169761875
Contact,-15.77405539,-1.259684448,3.146759745,3.982683832
Contact,-14.78903816,-1.611722381,3.59005729,3.11958477
Contact,-12.91632369,-1.789180972,6.289248239,3.260032458
Contact,-23.17850908,-4.133992231,-3.516204539,2.464618816
Contact,-19.83381706,-6.805256776,0.768087524,5.53950825
Contact,-18.43165675,-6.257880759,0.497284126,7.620458941
Contact,-18.68691366,-6.336095072,-0.234030499,9.282220064
Contact,-20.4357591,-4.340479305,-1.673689227,7.924519761
Contact,-22.78130332,-4.04809193,-4.706415203,1.092814168
Contact,-20.4719091,-5.902440578,-0.76530431,7.063074601
Contact,-19.7384316,-3.872850786,-1.32530477,9.231802585
Contact,-17.11360589,-3.745945314,1.554314051,9.055494104
Contact,-15.98783339,-3.154397,1.039002292,4.619450221
Contact,-14.31271813,-5.452925854,3.975680454,5.895990826
Contact,-18.57418166,-4.719213058,1.19120387,4.375335008
Contact,-15.32880047,-5.67918983,4.340056482,2.882038862
Contact,-17.25612374,-5.662654017,1.861706987,0.898945055
Contact,-17.29502517,-4.638652833,1.106576111,3.498832917
Contact,-17.64085571,-4.874634705,2.270758602,2.418317405
Contact,-19.32913475,-5.496445218,-0.107571756,5.29521877
Contact,-16.78043521,-5.681986802,3.062118018,2.796177675
Contact,-14.85322144,-0.059253004,2.952583969,0.307958647
Contact,-16.18907329,-2.863506226,1.645644029,2.799068462
Contact,-12.97899607,-2.185788206,7.724455383,1.906744938
Contact,-14.95984047,-2.531845891,7.170494632,-1.583120236
Contact,-15.98906398,-2.702582379,5.831354406,-1.125413935
Contact,-16.73809315,-2.421825772,3.437648388,0.212184912
Contact,-9.824733847,-3.620166368,11.60805371,-1.803885382
Contact,-13.07676244,-1.413032677,5.510748769,-2.370292689
Contact,-12.3757055,-0.647982659,6.194996116,-0.636361962
Contact,-13.6330601,-0.317771425,5.171968342,0.575987405
Contact,-13.37549296,-2.524630863,8.238630298,3.262109488
Contact,-10.96041419,-4.342357094,11.4852833,1.516387435
Contact,-12.83162289,-4.379928238,8.692236631,2.051838261
Contact,-11.38578633,-1.553324232,8.809142973,0.795967733
Contact,-8.737830403,0.572302197,9.010764056,0.992521226
Contact,-10.80972275,-1.645642672,8.738226496,1.196482163
Contact,-10.78575462,-2.214904191,8.927329547,1.092994522
Contact,-9.450013845,-2.483781573,10.15516193,1.26289378
Contact,-8.924638545,-1.26653091,10.34503805,2.102771197
Contact,-11.79793629,-7.376708878,10.61975488,1.344035577
Contact,-11.0622375,-5.334728077,8.89058084,3.077448958
Contact,-14.15281986,-3.217781369,3.632801955,6.047225099
Contact,-17.9475529,-1.032743654,-1.240560313,5.786160089
Contact,-14.68907822,-4.02183635,4.614243677,4.273751563
Contact,-13.61531747,-2.184378269,3.851176285,4.689696099
Contact,-14.98636697,-2.703913569,3.463302402,3.873402785
Contact,-13.89047265,-5.063558941,4.660525175,6.189299788
Contact,-15.33195249,-3.553402231,3.249347594,5.861220943
Contact,-12.94791638,-6.605388789,6.913873715,6.614216533
Contact,-11.87795844,-4.77109522,7.344655145,6.723033158
Contact,-8.905681924,-3.673580066,9.385690251,5.25159367
