duration_scaled,frequency_change_scaled,direction_scaled
0.157,4542.552,-938.795
0.514,8683.553,-2006.556
0.186,7905.547,1341.045
0.153,5847.595,467.272
0.585,8357.292,-1625.575
0.112,5220.17,171.341
0.279,8834.135,-1451.694
0.459,3990.419,-1850.817
0.176,5019.395,-441.128
0.153,4969.201,-343.412
0.175,6123.661,-636.323
0.176,4793.522,-246.491
0.552,8683.553,-1670.156
0.158,4919.007,-269.907
0.257,7102.443,-1088.418
0.306,4994.298,-2073.278
0.426,4642.94,-1944.927
0.481,8909.426,-1242.719
0.219,6249.146,-527.02
0.175,5446.043,-340.773
0.153,5320.558,-369.333
0.204,6224.049,-765.075
0.288,4843.716,-392.959
0.196,5094.686,-784.61
0.24,7830.256,-1149.389
0.126,5044.492,929.429
0.169,3890.031,-862.777
0.18,5897.789,-673.462
0.219,5144.88,-1180.039
0.612,5044.492,-2076.364
0.171,5797.401,-150.69
0.497,7905.547,-2361.452
0.322,3312.8,-1711.975
0.201,6525.213,-442.344
0.202,5922.886,123.544
0.229,6876.571,-1259.685
0.563,9260.783,-1339.01
0.186,5747.207,-1083.464
0.317,7955.741,-1130.651
0.153,5797.401,-139.699
0.716,7152.637,-2113.546
0.188,6299.34,-1227.141
0.151,7227.928,1189.311
0.628,3513.576,-2050.382
0.169,6023.274,325.551
0.158,6073.468,463.598
0.142,5395.849,-93.095
0.126,6399.728,549.047
0.143,2861.055,-1031.657
0.204,5069.589,-413.8
0.218,7880.45,934.69
0.71,7579.286,-2928.265
0.151,6198.952,948.183
0.164,5446.043,-304.817
0.211,6475.019,-1441.531
0.172,5998.177,462.768
0.295,8558.068,-1244.31
0.224,6951.862,-571.952
0.186,2961.443,369.318
0.306,8231.807,-1763.138
0.202,5897.789,-692.178
0.246,5571.528,-666.464
0.153,5019.395,-430.282
0.645,8934.523,-2441.602
0.175,4467.261,-611.075
0.229,9361.171,-2132.356
0.104,3689.255,363.008
0.229,5722.11,-1313.321
0.087,4316.679,163.826
0.191,6324.437,148.184
0.175,5621.722,1530.577
0.091,5144.88,270.89
0.111,1798.81,386.413
0.111,905.97,789.269
0.111,2074.54,449.782
0.154,2678.52,681.404
0.142,2626,638.031
0.159,1391.78,923.259
0.228,2836.08,-73.916
0.159,1838.2,637.441
0.149,1536.21,735.714
0.155,2586.61,549.38
0.13,2573.48,99.856
0.138,1680.64,752.059
0.127,2284.62,414.171
0.136,2258.36,-75.603
0.09,2875.47,766.127
0.133,2941.12,365.376
0.155,2324.01,305.884
0.122,2415.92,541.263
0.093,2271.49,293.621
0.096,2560.35,417.913
0.101,2468.44,895.202
0.149,2954.25,-168.3
0.186,1168.57,-206.245
0.149,1273.61,5.67
0.149,1693.77,1028.878
0.159,1050.4,989.005
0.096,2494.7,668.782
0.09,1995.76,162.987
0.13,2836.08,87.172
0.093,2284.62,323.225
0.106,1877.59,438.091
0.218,2100.8,-1016.383
0.149,1785.68,721.579
0.143,2455.31,702.845
0.181,2731.04,-1121.717
0.142,2993.64,336.722
0.25,1930.11,-848.225
0.154,1943.24,304.387
0.133,2731.04,477.92
0.122,2218.97,812.261
0.13,2061.41,831.352
0.117,2796.69,667.265
0.122,1759.42,345.527
0.138,2980.51,814.803
0.127,853.45,716.354
0.159,1877.59,724.549
0.122,3229.98,457.751
0.133,2035.15,1037.536
0.133,2770.43,753.954
0.133,2744.17,528.257
0.133,2560.35,375.538
0.114,2140.19,926.742
0.181,1431.17,879.132
0.133,2218.97,778.779
0.111,1024.14,400.645
0.133,1916.98,752.707
0.146,2770.43,840.15
