N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
7218,3,0.090256058,1603.825589,2325.547104,721.721515,-11.48669056,2072.976538,-290.0185805,0.024126552,0.097466045
7219,3,0.102146077,1635.902101,2461.872279,825.9701783,79.58341284,2159.484283,-354.3154186,0.088426329,0.100375479
7220,3,0.090796513,1587.787333,2814.713908,1226.926575,-487.9401763,2485.182586,-335.7632277,-0.122603692,0.121105197
7221,3,0.0906614,1748.169892,2341.58536,593.4154679,82.86494929,2146.893357,-319.5680788,-0.019691898,0.102193875
7222,3,0.089175147,1964.686347,3007.172979,1042.486633,93.28063359,2533.277108,-354.6166218,0.083939236,0.12510567
7223,3,0.075798875,1170.79268,2774.618269,1603.825589,43.75895632,2001.301015,-275.0630424,0.049270394,0.096738687
7224,3,0.069853865,1242.964831,2574.140071,1331.175239,21.68267902,2111.853992,-298.345748,-0.100055257,0.101102838
7225,3,0.095390384,1732.131636,2590.178326,858.0466899,116.2576935,2290.298541,-319.5173122,-0.020461332,0.110558499
7226,3,0.085121731,1202.869191,2750.560885,1547.691694,81.92072933,2289.764797,-312.0201072,0.02859813,0.117104726
7227,3,0.104713241,1250.98396,3183.593794,1932.609835,-287.1532168,2409.924546,-300.2203136,-0.104340062,0.125469349
7228,3,0.100254484,1411.366518,2983.115595,1571.749077,-166.5928765,2373.249851,-381.2424227,-0.050886527,0.115286329
7229,3,0.097281979,1724.112508,2630.273966,906.1614581,81.87467763,2240.949822,-367.4562891,-0.012192661,0.102921234
7230,3,0.077960697,1651.940357,2638.293094,986.3527371,-161.2162628,2386.839808,-304.7961898,-0.020684259,0.11492265
7231,3,0.093093449,1852.418555,2798.675652,946.2570972,41.76424917,2441.678537,-386.0056646,0.017344656,0.116013688
7232,3,0.111739162,1740.150764,3023.211235,1283.060471,-105.3253764,2393.136752,-258.6634716,0.086116782,0.115650009
