category,duration,direction,frequency,energy
Contact,0.28190476,-219.3971814,4243,5
Contact,0.25396825,-175.6011524,3932,5
Contact,0.35809524,-13.84881335,4116,6
Contact,0.35047619,-66.92806215,4435,6
Contact,0.33777778,-122.8460912,4442,6
Contact,0.3352381,-88.79932052,4442,6
Contact,0.32507937,-71.98902085,4643,6
Contact,0.33777778,-56.35009445,4643,6
Contact,0.30222222,-94.67245854,4643,6
Contact,0.34285714,-29.55192246,4650,5
Contact,0.35301588,-74.09635299,4643,6
Contact,0.36825397,-91.75842025,4643,6
Contact,0.39873019,-39.98832985,4643,6
Contact,0.3911111,-107.7308386,4435,6
Contact,0.3631746,-86.38312239,4442,6
Contact,0.3657143,-213.2934726,4435,7
Contact,0.3860317,-209.5975617,4250,6
Contact,0.3809523,-250.5631097,4250,6
Contact,0.3631746,-233.4641452,4250,6
Contact,0.3961905,-227.7483309,4250,5
Contact,0.3631746,-191.1400663,4442,7
Contact,0.4114285,-224.8877573,4300,6
Contact,0.3326984,-209.7860312,3720,7
Contact,0.383492,-138.1553242,4250,5
Contact,0.3453968,-221.0586919,4250,6
Contact,0.3073016,-225.782958,3558,5
Contact,0.3428571,-183.9036223,4250,5
Contact,0.3453968,-109.9811636,4442,6
Contact,0.4139682,-53.8293206,4643,6
Contact,0.3707937,-80.8523771,4442,6
Contact,0.3784127,-51.0656219,4442,6
Contact,0.4063492,-32.621894,4442,4
Contact,0.4063492,-121.6180543,4499,6
Contact,0.4063492,-129.1156017,4250,5
Contact,0.424127,-123.2802077,4250,5
Contact,0.1487528,-36.3754407,3403,5
Contact,0.1832199,-204.0778797,3720,6
Contact,0.1977324,-43.36388835,4059,7
Pleasure,0.0888889,356.4189076,7,11
Pleasure,0.0743764,355.2321654,3453,14
Pleasure,0.092517,406.1491728,7,11
Pleasure,0.0743764,291.4236834,7,12
Pleasure,0.0798186,292.4092599,0,7
Pleasure,0.0671201,282.9739991,14,13
Pleasure,0.0888889,338.6936798,0,12
Pleasure,0.0961451,303.5983169,0,7
Pleasure,0.092517,261.6109973,7,11
Pleasure,0.0834467,284.3354879,14,11
Pleasure,0.0852608,291.3136344,57,11
Pleasure,0.0798186,342.8740184,0,11
Pleasure,0.0816327,393.2352862,7,10
Pleasure,0.0888889,264.2133132,2371,13
Pleasure,0.0943311,306.4368222,3446,13
Pleasure,0.0997733,263.2223136,7,6
Pleasure,0.0816327,149.3232384,7,9
Pleasure,0.0689343,334.8193493,0,8
Pleasure,0.0997732,369.685686,50,9
Pleasure,0.0852608,297.1736363,0,6
Pleasure,0.1015873,201.36582,7,7
Contact,0.2394558,-215.0554532,3889,7
Contact,0.269932,-212.4666543,3889,6
Contact,0.3221769,-307.6577593,4116,6
Contact,0.2046259,-249.4063939,4109,7
Contact,0.2220408,-305.1735593,3889,8
Contact,0.2263945,-304.3959246,3889,7
Contact,0.235102,-332.6746767,4066,7
Contact,0.3221769,-183.1653866,4066,9
Contact,0.3613605,-131.4897195,4066,7
Contact,0.352653,-87.45009447,4066,7
Contact,0.3526531,-119.002031,4066,6
Contact,0.3091156,-130.3434952,4066,8
Contact,0.3570068,-223.4765592,4102,8
Contact,0.3134694,-154.5641534,3939,7
Contact,0.2960544,-189.850853,3939,9
Contact,0.3439456,-215.020757,3889,8
Contact,0.3047619,-249.4017999,4293,7
Contact,0.2351021,-270.9413968,3939,6
Contact,0.287347,-245.1444624,4116,6
Contact,0.269932,-234.7759154,3932,7
Contact,0.2786395,-107.7270627,3939,6
