id,duration,minimum,maximum,frequency_change,direction,pca,category,sex,mean_duration,mean_frequency,mean_change,mean_pca,,
348,0.093424036,1841.088867,4155.908203,2314.819336,509.31015,-1.11807,N,F,,,,,,
348,0.058594104,861.328125,4166.674805,3305.34668,289.4857855,-0.80599,N,F,,,,,,
348,0.098367347,1216.625977,4091.308594,2874.682617,123.6286462,-0.3466,N,F,,,,,,
348,0.089818594,1431.958008,4112.841797,2680.883789,657.1343885,-1.29284,N,F,,,,,,
348,0.081609977,1604.223633,3391.479492,1787.255859,643.1348857,-1.53826,N,F,,,,,,
348,0.082018141,1184.326172,3886.743164,2702.416992,395.2607404,-0.93528,N,F,,,,,,
348,0.097959184,1614.990234,3703.710938,2088.720703,512.1696668,-1.14063,N,F,,,,,,
348,0.084353741,1421.191406,3811.376953,2390.185547,806.2155909,-1.63481,N,F,,,,,,
348,0.034807256,1894.921875,3488.378906,1593.457031,-3.383435321,-0.91893,N,F,,,,,,
348,0.082040816,1205.859375,4984.936523,3779.077148,407.2740919,-0.70597,N,F,,,,,,
348,0.082018141,2487.084961,3240.74707,753.6621094,579.5383676,-1.67344,N,F,,,,,,
348,0.070294785,1195.092773,4414.306641,3219.213867,481.9863172,-1.04029,N,F,,,,,,
348,0.09446712,1216.625977,3359.179688,2142.553711,384.7793221,-0.95444,N,F,,,,,,
348,0.069501134,1335.058594,4037.475586,2702.416992,354.498313,-0.96515,N,F,,,,,,
348,0.080136054,1356.591797,4295.874023,2939.282227,671.7122988,-1.32881,N,F,,,,,,
348,0.095079365,1324.291992,3251.513672,1927.22168,459.9459837,-1.11745,N,F,,,,,,
348,0.124240363,1055.126953,3477.612305,2422.485352,138.7554505,-0.2805,N,F,,,,,,
348,0.077346939,958.2275391,3186.914063,2228.686523,149.1126678,-0.69302,N,F,,,,,,
348,0.084376417,872.0947266,4317.407227,3445.3125,826.4270129,-1.42332,N,F,,,,,,
348,0.099750567,1216.625977,3326.879883,2110.253906,673.81169,-1.37599,N,F,,,,,,
348,0.089047619,1421.191406,3477.612305,2056.420898,543.4795041,-1.26405,N,F,,,,,,
348,0.077528345,936.6943359,3563.745117,2627.050781,899.1119666,-1.77726,N,F,,,,,,
348,0.072675737,1894.921875,4102.075195,2207.15332,571.9757138,-1.39682,N,F,,,,,,
348,0.067959184,1496.557617,4780.371094,3283.813477,-219.6535043,0.05852,N,F,,,,,,
348,0.082018141,1270.458984,5114.135742,3843.676758,487.1365704,-0.81662,N,F,,,,,,
348,0.103129252,1324.291992,3585.27832,2260.986328,575.4712552,-1.16156,N,F,,,,,,
348,0.082040816,1658.056641,4220.507813,2562.451172,697.5745226,-1.44192,N,F,,,,,,
348,0.07968254,839.7949219,3919.042969,3079.248047,750.4002646,-1.42349,N,F,,,,,,
348,0.082018141,1087.426758,3509.912109,2422.485352,542.6523019,-1.23114,N,F,,,,,,
348,0.096099773,1561.157227,4769.604492,3208.447266,198.5499486,-0.40433,N,F,,,,,,
348,0.067959184,1001.293945,4500.439453,3499.145508,-248.3736514,0.15321,N,F,,,,,,
348,0.091405896,1205.859375,3445.3125,2239.453125,613.7933342,-1.31458,N,F,,,,,,
348,0.072653061,1475.024414,4026.708984,2551.68457,628.3320837,-1.4061,N,F,,,,,,
348,0.102562358,1227.392578,3240.74707,2013.354492,11.70983832,-0.33785,N,F,,,,,,
348,0.069070295,1281.225586,2982.348633,1701.123047,42.42365606,-0.70912,N,F,,,,,,
348,0.059501134,1270.458984,4091.308594,2820.849609,-276.6010229,-0.02214,N,F,,,,,,
348,0.096961451,979.7607422,3176.147461,2196.386719,394.6207339,-0.93879,N,F,,,,,,
348,0.081292517,1862.62207,3337.646484,1475.024414,350.2257497,-1.15275,N,F,,,,,,
348,0.109863946,1022.827148,3294.580078,2271.75293,107.7436313,-0.37434,N,F,,,,,,
348,0.089070295,1410.424805,3380.712891,1970.288086,-279.845253,0.00875,N,F,,,,,,
348,0.105464853,1378.125,3520.678711,2142.553711,510.9520895,-1.07004,N,F,,,,,,
348,0.090952381,1356.591797,4877.270508,3520.678711,654.6473743,-1.08699,N,F,,,,,,
348,0.067959184,1507.324219,4295.874023,2788.549805,571.727134,-1.29788,N,F,,,,,,
348,0.057687075,1227.392578,3779.077148,2551.68457,284.2254721,-0.97814,N,F,,,,,,
348,0.082018141,1291.992188,3402.246094,2110.253906,-140.9366965,-0.22995,N,F,,,,,,
348,0.089047619,968.9941406,4134.375,3165.380859,-49.41685527,-0.07787,N,F,,,,,,
348,0.077641723,1248.925781,3865.209961,2616.28418,9.553176184,-0.38245,N,F,,,,,,
348,0.051247166,958.2275391,4198.974609,3240.74707,107.387127,-0.5901,N,F,,,,,,
