id,duration_scaled,minimum_scaled,maximum_scaled,frequency_change_scaled,direction_scaled,pca_scaled
348,0.242984529,3086.92772,8131.419361,5044.491641,-258.4046282,-0.228787879
348,0.22411451,2208.533654,10841.89248,8633.35883,592.298073,-0.879044289
348,0.300228872,2710.473121,8131.419361,5420.946242,-479.2266548,0.633822844
348,0.254507396,2384.212466,8608.261855,6224.049389,-112.1018254,-0.10034965
348,0.183943042,2133.242734,9210.589214,7077.346483,597.1191529,-1.546247086
348,0.235003093,2057.951814,9762.722629,7704.770816,858.8242762,-1.42967366
348,0.273165988,1957.563921,8482.776988,6525.213068,191.7012631,-0.367972028
348,0.162007305,2108.145761,6976.958587,4868.812828,192.9876403,-1.585034965
348,0.317407459,4316.679415,7905.546601,3588.867186,591.4861359,-1.34018648
348,0.207411636,3438.285347,10917.1834,7478.898056,1162.197093,-2.164825175
348,0.224008795,3664.158107,7453.801082,3789.642974,1294.619365,-3.098065268
348,0.275755991,2961.442853,8231.807256,5270.364401,842.8182128,-1.65972028
348,0.327714613,2685.376147,10013.69236,7328.316214,-1056.363733,2.185268065
348,0.192400193,3086.92772,7453.801082,4366.873361,1435.306767,-3.422960373
348,0.161055876,2484.600361,7729.867788,5245.267429,-505.6171599,-0.408787879
348,0.233258804,2710.473121,7428.70411,4718.230988,1613.955143,-3.316107226
348,0.213067357,4642.940068,10214.46815,5571.528082,1589.888314,-3.233170163
348,0.2442531,2283.824574,6876.570695,4592.746121,110.6312295,-0.902634033
348,0.180718753,2083.048787,9561.946841,7478.898056,1854.599305,-3.451934732
348,0.206618779,3413.188375,9687.431709,6274.243336,939.8554345,-2.099230769
348,0.21243307,4266.485469,9060.007375,4793.521907,1372.113853,-3.075268065
348,0.198743056,2961.442853,7428.70411,4467.261254,473.2569723,-1.842051282
348,0.226228797,5069.588615,8131.419361,3061.830748,846.4133683,-2.545454545
348,0.283314569,3237.509562,8457.680016,5220.170455,-1064.373841,1.379324009
348,0.218511648,2308.921547,10465.43788,8156.516336,803.342348,-1.362191142
348,0.540834828,2635.1822,11845.77142,9210.589214,-1481.545291,4.884335664
348,0.332947476,2584.988254,10992.47432,8407.486068,-500.1144935,1.59988345
348,0.223955939,3563.770214,10691.31064,7127.540429,1566.103848,-2.755780886
348,0.224008795,3789.642974,10741.50459,6951.861615,1375.055064,-2.495920746
348,0.202971632,3061.830748,10390.14696,7328.316214,1129.514648,-2.181515152
