category,duration,frequency_change,direction
unknown,0.096099773,3208.447266,198.5499486
unknown,0.067959184,3499.145508,-248.3736514
unknown,0.091405896,2239.453125,613.7933342
unknown,0.072653061,2551.68457,628.3320837
unknown,0.102562358,2013.354492,11.70983832
unknown,0.069070295,1701.123047,42.42365606
unknown,0.059501134,2820.849609,-276.6010229
unknown,0.096961451,2196.386719,394.6207339
unknown,0.081292517,1475.024414,350.2257497
unknown,0.109863946,2271.75293,107.7436313
unknown,0.089070295,1970.288086,-279.845253
unknown,0.105464853,2142.553711,510.9520895
unknown,0.090952381,3520.678711,654.6473743
unknown,0.067959184,2788.549805,571.727134
unknown,0.057687075,2551.68457,284.2254721
unknown,0.082018141,2110.253906,-140.9366965
unknown,0.089047619,3165.380859,-49.41685527
unknown,0.077641723,2616.28418,9.553176184
unknown,0.051247166,3240.74707,107.387127
unknown,0.093764172,1464.257813,421.3592215
unknown,0.093764172,3154.614258,97.3174258
unknown,0.09845805,3466.845703,723.2999836
unknown,0.093764172,2637.817383,468.520186
unknown,0.11015873,2648.583984,-137.6464676
unknown,0.07968254,2153.320313,-60.01723863
unknown,0.105464853,2271.75293,776.9289901
unknown,0.089909297,2583.984375,300.3573974
unknown,0.058594104,2476.318359,72.2611464
unknown,0.082018141,2497.851563,-255.6580457
unknown,0.107823129,2788.549805,181.9568554
unknown,0.065623583,1970.288086,448.1289665
unknown,0.089047619,3208.447266,672.9608743
unknown,0.112494331,2239.453125,607.3530824
unknown,0.096099773,1991.821289,603.8075565
unknown,0.077346939,2239.453125,-126.313117
unknown,0.070294785,2088.720703,-165.6809279
unknown,0.053922902,1108.959961,-135.5728792
unknown,0.089047619,1808.789063,275.6112331
unknown,0.089070295,3176.147461,-294.2829995
unknown,0.091405896,3100.78125,576.9668018
unknown,0.077346939,3423.779297,713.2711042
unknown,0.067981859,1701.123047,-103.9025035
unknown,0.145306122,2110.253906,175.5196387
unknown,0.074988662,3100.78125,475.4227606
unknown,0.128911565,2153.320313,582.1446173
unknown,0.086712018,3165.380859,519.7151624
unknown,0.075011338,2853.149414,1034.640053
unknown,0.072653061,2368.652344,236.5549814
unknown,0.091405896,3531.445313,597.1705754
unknown,0.063287982,2002.587891,60.05296235
unknown,0.073514739,3445.3125,700.3306907
unknown,0.080181406,1733.422852,-26.51026644
unknown,0.07031746,1884.155273,-193.0423955
unknown,0.111655329,2056.420898,-103.8654887
unknown,0.103129252,3122.314453,-160.6274885
unknown,0.046326531,2573.217773,11.25809963
unknown,0.086439909,1679.589844,-138.3638719
unknown,0.060929705,2164.086914,-76.9224798
unknown,0.093741497,1905.688477,-263.4109047
unknown,0.061133787,2573.217773,-349.8200711
unknown,0.086712018,3337.646484,718.755558
unknown,0.081791383,1808.789063,560.2026508
unknown,0.047029478,2637.817383,-14.59760188
unknown,0.062834467,2142.553711,-153.2595513
unknown,0.031927438,3133.081055,-97.67863912
unknown,0.060929705,2271.75293,174.0292132
unknown,0.056258503,2454.785156,54.90368765
unknown,0.054761905,2390.185547,74.0667489
unknown,0.099591837,2099.487305,-140.3994037
