prog,category,duration_scaled,frequency_change_scaled,direction_scaled
71,unknown,0.19451448,5596.625054,-313.5451028
72,unknown,0.22110165,8081.225415,1869.274224
73,unknown,0.233998807,8859.23159,1238.094775
74,unknown,0.174851604,7002.055562,1545.297354
75,unknown,0.196681625,9336.074082,582.0404331
76,unknown,0.169354455,8432.583042,1046.312532
77,unknown,0.159523016,7002.055562,1148.738573
78,unknown,0.215604501,8708.649748,1152.983259
79,unknown,0.211111639,5119.782562,1684.446583
80,unknown,0.202125916,5722.109921,1407.246066
81,unknown,0.202125916,8507.873963,1088.511089
82,unknown,0.142080142,5094.685587,598.4792872
83,unknown,0.234950235,6926.764641,1877.914424
84,unknown,0.167451597,6851.473723,1583.952833
85,unknown,0.164015879,6600.503988,163.0126085
86,unknown,0.178921608,8282.001203,967.0560282
87,unknown,0.202813061,4216.291522,1334.264408
88,unknown,0.217771646,5395.849268,1187.203147
89,unknown,0.136582993,7704.770816,674.7920408
90,unknown,0.229294515,6700.891881,288.1786625
91,unknown,0.209367352,6249.146361,1531.781791
92,unknown,0.190233047,4166.097573,1499.148918
93,unknown,0.191184478,6299.340308,921.3537072
94,unknown,0.228343086,4868.812828,1193.868687
95,unknown,0.196628767,5571.528082,1879.290422
96,unknown,0.081135795,3714.352054,-7.88679562
97,unknown,0.191237333,8809.037641,949.3568576
98,unknown,0.191184478,1756.788134,1350.905286
99,unknown,0.163857308,7503.995028,1123.511229
100,unknown,0.220203077,4994.297695,896.9214967
101,unknown,0.162007305,6299.340308,826.3363939
102,unknown,0.186797329,6851.473723,1565.762934
103,unknown,0.221630221,4492.358228,1072.13516
104,unknown,0.289604576,5646.819002,323.4392786
105,unknown,0.180295895,5195.07348,347.5819762
106,unknown,0.196681625,8031.031469,1926.403293
107,unknown,0.232518804,4919.006774,1570.65662
108,unknown,0.207570207,4793.521907,1266.851991
109,unknown,0.180718753,6123.661494,2095.83209
110,unknown,0.169407312,5144.879534,1333.276722
111,unknown,0.158413016,7654.576869,-512.0128305
112,unknown,0.191184478,8959.619483,1135.516481
113,unknown,0.240394527,5270.364401,1341.424837
114,unknown,0.191237333,5973.079655,1626.047838
115,unknown,0.185740186,7177.734375,1749.184766
116,unknown,0.191184478,5646.819002,1264.923781
117,unknown,0.224008795,7478.898056,462.820393
118,unknown,0.158413016,8156.516336,-578.9595604
119,unknown,0.213067357,5220.170455,1430.753693
120,unknown,0.169354455,5947.982681,1464.643552
121,unknown,0.239073096,4693.134014,27.29566042
122,unknown,0.161003019,3965.321788,98.88964117
123,unknown,0.138697282,6575.407014,-644.7576291
124,unknown,0.226017368,5119.782562,919.8618506
125,unknown,0.189493047,3438.285347,816.3770389
126,unknown,0.256093114,5295.461375,251.1506557
127,unknown,0.207623065,4592.746121,-652.3199371
128,unknown,0.245838818,4994.297695,1191.030512
129,unknown,0.212010212,8206.710282,1525.984555
130,unknown,0.158413016,6500.116096,1332.697282
131,unknown,0.134468706,5947.982681,662.530238
132,unknown,0.191184478,4919.006774,-328.5237681
133,unknown,0.207570207,7378.510161,-115.1908048
134,unknown,0.180983037,6098.564522,22.26847595
135,unknown,0.119457263,7554.188974,250.3196434
136,unknown,0.218564503,3413.188375,982.1893275
137,unknown,0.218564503,7353.413189,226.8471464
138,unknown,0.229505944,8081.225415,1686.013948
139,unknown,0.218564503,6148.758469,1092.121646
140,unknown,0.256780256,6173.855441,-320.8542368
141,unknown,0.185740186,5019.394669,-139.9003231
142,unknown,0.245838818,5295.461375,1811.023287
