category,duration,change,direction
contact,0.22,2099.49,-560.22
contact,0.21,1141.26,-637.88
contact,0.3,1711.89,-598.2
contact,0.3,2745.48,66.95
contact,0.3,1205.86,-464.37
contact,0.3,1733.42,-260.45
contact,0.3,721.36,-411.06
contact,0.3,2400.95,-151.22
contact,0.25,613.7,-658.74
contact,0.27,990.53,-524.05
contact,0.26,2336.35,76.25
contact,0.35,2993.12,-104.14
contact,0.37,2465.55,-345.16
contact,0.37,2885.45,-629.79
contact,0.32,1356.59,-373.16
contact,0.34,1216.63,-498.37
pleasure,0.08,1098.19,602.23
pleasure,0.1,1141.26,524.63
pleasure,0.11,1281.23,609.65
pleasure,0.11,1022.83,644.09
pleasure,0.11,646,519.97
pleasure,0.09,968.99,609.44
pleasure,0.11,1259.69,525.44
pleasure,0.12,1055.13,365.1
pleasure,0.09,1076.66,495.51
pleasure,0.14,893.63,511.72
pleasure,0.08,1001.29,656.88
pleasure,0.09,775.2,597.46
pleasure,0.13,1001.29,344.3
pleasure,0.09,1399.66,731.65
pleasure,0.11,710.6,696.82
pleasure,0.12,785.96,527.72
pleasure,0.12,947.46,618.16
pleasure,0.1,915.16,781.52
pleasure,0.1,1087.43,363.36
contact,0.28,2067.19,-481.01
contact,0.32,2293.29,-580.05
contact,0.31,2465.55,-566.02
contact,0.33,1808.79,-584.42
contact,0.35,1916.46,-682.38
contact,0.26,1496.56,-466.78
contact,0.36,2713.18,-430.93
contact,0.33,1884.16,-650.26
contact,0.31,2067.19,-678.97
contact,0.32,1862.62,-341.52
contact,0.31,2056.42,-676.79
contact,0.32,3326.88,-436.99
contact,0.33,2594.75,-704.08
contact,0.28,2605.52,-607.83
contact,0.34,2024.12,-524.6
contact,0.3,2605.52,-372.84
contact,0.24,2670.12,-513.26
contact,0.34,2196.39,-140.51
contact,0.34,2067.19,-336.1
contact,0.33,1916.46,-664.28
contact,0.29,2260.99,-355.38
contact,0.28,2874.68,-388.49
contact,0.3,3068.48,-765.9
contact,0.3,2616.28,-360.87
contact,0.29,3003.88,-718.74
contact,0.28,2174.85,-1051.86
contact,0.32,3046.95,-455.26
contact,0.3,1475.02,-416.81
contact,0.39,3143.85,-525.16
contact,0.28,2271.75,-752.46
contact,0.37,2013.35,-578.01
contact,0.33,1830.32,-670.89
contact,0.3,1442.72,-374.18
contact,0.32,1647.29,-329.9
contact,0.31,1076.66,-521.59
contact,0.32,2368.65,-641.11
contact,0.34,1776.49,-543.77
contact,0.36,2627.05,-268.3
contact,0.34,2411.72,-517.12
contact,0.34,1679.59,-643.08
contact,0.34,1808.79,-627.11
contact,0.33,3273.05,81.21
contact,0.31,2917.75,-566.77
contact,0.34,3176.15,-407.98
contact,0.32,2368.65,-462.78
contact,0.26,1754.96,-157.66
contact,0.33,2444.02,-569.64
contact,0.34,3003.88,-500.27
contact,0.32,3057.71,-358.74
contact,0.33,3133.08,-282.92
contact,0.32,1905.69,-631.38
contact,0.23,2982.35,-592.05
contact,0.31,2185.62,-682.35
contact,0.38,3542.21,-631.89
contact,0.38,3413.01,-609.5
contact,0.37,3542.21,-524.35
contact,0.31,1711.89,-561.91
contact,0.36,3552.98,-323.57
contact,0.36,2906.98,-528.71
contact,0.28,2164.09,-501.16
contact,0.36,3283.81,-591
contact,0.34,2777.78,-560.63
contact,0.37,3251.51,-801.92
contact,0.36,2121.02,-520.87
contact,0.34,2260.99,-268.79
contact,0.31,2077.95,-544.68
contact,0.29,2950.05,-191.91
contact,0.24,430.66,-681.47
contact,0.31,2616.28,-567.53
contact,0.32,2196.39,-607.53
contact,0.35,1388.89,-600.72
contact,0.31,1130.49,-560.03
pleasure,0.11,236.87,737.9
pleasure,0.11,1033.59,753.02
pleasure,0.12,2067.19,150.14
pleasure,0.12,710.6,633.59
contact,0.39,1001.29,-655.88
contact,0.38,893.63,-531.4
contact,0.42,915.16,-611.53
contact,0.31,2982.35,535.22
contact,0.38,710.6,-576.91
contact,0.37,1281.23,-688.5
contact,0.38,2691.65,-633.37
contact,0.36,2680.88,-225.22
contact,0.38,2497.85,-280.5
contact,0.37,506.03,-537.88
contact,0.39,2121.02,-447.45
contact,0.37,549.1,-528.57
contact,0.4,925.93,-960
contact,0.28,2734.72,-135.7
contact,0.37,2562.45,-568.24
contact,0.39,1302.76,-593.7
