N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
760,P,0.095238095,1625.756836,3940.576172,2314.819336,-111.4495634,2804.385771,-446.98288,-0.284782186,0.12890625
761,P,0.066031746,1668.823242,3563.745117,1894.921875,434.737409,2762.618983,-421.02628,-0.031321506,0.135742188
762,P,0.110204082,1991.821289,3563.745117,1571.923828,-42.01884166,2917.125471,-539.26514,0.080413365,0.133300781
763,P,0.10185941,1873.388672,3736.010742,1862.62207,-51.91204914,2888.141165,-471.52618,0.049157188,0.133789063
764,P,0.083537415,1981.054688,3617.578125,1636.523438,173.3109917,2917.2398,-469.47437,0.100591766,0.135253906
765,P,0.09015873,1658.056641,4683.47168,3025.415039,-56.77601158,2925.991625,-394.70178,0.035689419,0.131835938
766,P,0.114195011,1636.523438,3768.310547,2131.787109,3.254057455,2814.045298,-465.8767,-0.063933047,0.125976563
767,P,0.11047619,1561.157227,4080.541992,2519.384766,10.30781802,2804.976687,-395.53223,0.06441186,0.131835938
768,P,0.09015873,1873.388672,3649.87793,1776.489258,161.4523838,2825.272634,-469.00217,0.009147526,0.129394531
769,P,0.118095238,1679.589844,3660.644531,1981.054688,28.73625514,2912.95557,-459.38177,-0.020052874,0.140136719
770,P,0.099047619,1711.889648,3617.578125,1905.688477,224.7202001,2582.616306,-546.6749,0.098688131,0.114257813
771,P,0.094603175,2002.587891,4102.075195,2099.487305,-293.7482731,3249.201628,-517.8159,0.011783955,0.147949219
772,P,0.114285714,1593.457031,3682.177734,2088.720703,55.2495466,2773.635934,-433.06992,-0.054821033,0.132324219
773,P,0.071836735,1604.223633,4026.708984,2422.485352,67.83954677,2747.590486,-435.94833,0.051555031,0.129882813
774,P,0.097142857,1668.823242,3649.87793,1981.054688,-104.3054983,2828.715464,-540.8937,-0.016463148,0.131835938
775,P,0.11047619,1668.823242,3316.113281,1647.290039,32.96745934,2848.283905,-382.46292,-0.070179372,0.134277344
776,P,0.114285714,1647.290039,3466.845703,1819.555664,230.9510546,2863.344764,-449.43988,0.01980502,0.138671875
777,P,0.086349206,1647.290039,4242.041016,2594.750977,-308.9034336,3269.178072,-410.63492,-0.157983836,0.148925781
778,P,0.113015873,1927.22168,3251.513672,1324.291992,-6.225892736,2924.247909,-506.1082,-0.071376097,0.136230469
779,P,0.124444444,2088.720703,3283.813477,1195.092773,25.3345603,2881.635953,-442.6607,0.105091472,0.13671875
780,P,0.081269841,1862.62207,3789.84375,1927.22168,113.2144525,2824.316119,-561.1064,0.022659481,0.129882813
781,P,0.126984127,2077.954102,3348.413086,1270.458984,-167.2961629,2968.876853,-506.5025,0.106426052,0.141601563
782,P,0.083265306,1765.722656,5071.069336,3305.34668,-44.81989896,3237.788295,-339.13696,0.041811881,0.1328125
783,P,0.087619048,1754.956055,4274.34082,2519.384766,194.9760336,2862.097784,-451.53134,-0.071817881,0.126953125
784,P,0.113015873,1582.69043,3649.87793,2067.1875,14.07705651,2932.13683,-383.70685,0.033441226,0.146972656
785,P,0.113015873,1744.189453,3488.378906,1744.189453,-108.414422,2848.968979,-450.61407,0.122900235,0.130859375
786,P,0.115555556,1722.65625,3456.079102,1733.422852,-60.15074059,2860.318978,-402.83667,0.067392876,0.134765625
787,P,0.120634921,1948.754883,3391.479492,1442.724609,-136.6245103,2893.563246,-489.63483,0.145909449,0.137695313
788,P,0.095238095,1991.821289,3391.479492,1399.658203,-32.65415025,2955.544914,-441.55072,-0.025715702,0.140625
789,P,0.095963719,1604.223633,3746.777344,2142.553711,-54.86468789,2856.84717,-456.6496,-0.004652207,0.13671875
790,P,0.12952381,1884.155273,3143.847656,1259.692383,-168.8988715,2858.517153,-487.70868,-0.150231096,0.135253906
791,P,0.121904762,1970.288086,3068.481445,1098.193359,144.4605143,2822.04642,-467.28683,-0.014171896,0.125976563
792,P,0.123174603,1754.956055,3154.614258,1399.658203,-74.66856288,2817.671632,-438.2013,0.102412764,0.133300781
793,P,0.124444444,1830.322266,3402.246094,1571.923828,105.1630839,2863.842187,-477.23044,0.073068919,0.135253906
794,P,0.143673469,1851.855469,3574.511719,1722.65625,121.1181958,2923.463824,-412.56848,0.066201788,0.136230469
795,P,0.125714286,1701.123047,3348.413086,1647.290039,-64.3189895,2821.416786,-437.32913,0.090920417,0.134277344
796,P,0.082539683,1808.789063,3316.113281,1507.324219,137.0869672,2831.146533,-445.774,0.123389051,0.132324219
797,P,0.105396825,1690.356445,3919.042969,2228.686523,39.89625094,2816.161693,-440.04776,0.004841528,0.123535156
798,P,0.120816327,1744.189453,3552.978516,1808.789063,72.20685424,2847.369891,-473.00522,0.126987844,0.133300781
799,P,0.11047619,1916.455078,4145.141602,2228.686523,-129.562207,2961.522607,-377.0375,0.109329928,0.139648438
800,C,0.294603175,2142.553711,3908.276367,1765.722656,-461.1035398,3512.227173,-410.98795,-0.031314465,0.168457031
801,C,0.096507937,2088.720703,3380.712891,1291.992188,110.7015987,2889.877494,-555.75183,0.172255304,0.131347656
802,C,0.185396825,2304.052734,3219.213867,915.1611328,169.5834683,2903.590632,-405.26605,0.036170811,0.128417969
803,C,0.104126984,1916.455078,3563.745117,1647.290039,106.972168,2691.696968,-424.46967,-0.015739569,0.118164063
804,C,0.125170068,2228.686523,3423.779297,1195.092773,-212.801361,3076.203366,-395.01318,0.06266196,0.147460938
805,C,0.307301587,2411.71875,4069.775391,1658.056641,-642.7948319,3699.483843,-386.28745,-0.119078891,0.178710938
806,C,0.251428571,1787.255859,4059.008789,2271.75293,-352.8793926,3335.400582,-464.66418,0.004280262,0.162597656
807,C,0.203537415,1604.223633,3542.211914,1937.988281,-174.7492581,2940.411287,-390.3648,-0.069676509,0.147949219
808,C,0.223492063,1668.823242,4543.505859,2874.682617,-109.1051717,3367.261822,-388.76562,0.051124236,0.16015625
809,C,0.32,2110.253906,4435.839844,2325.585938,-826.2688108,3750.549696,-406.05396,0.14052846,0.186035156
810,C,0.381315193,3111.547852,4457.373047,1345.825195,-961.6916877,3995.974837,-353.26987,-0.040892203,0.1875
811,C,0.380952381,2347.119141,4091.308594,1744.189453,-476.2621123,3658.567292,-330.7793,0.003848852,0.172363281
812,C,0.37877551,3240.74707,4909.570313,1668.823242,-1256.310533,4238.092151,-364.09305,0.016732924,0.19921875
813,C,0.382403628,3509.912109,4769.604492,1259.692383,-1399.952515,4347.20147,-286.5247,-0.023752644,0.193847656
814,C,0.405623583,3025.415039,4338.94043,1313.525391,-1020.118257,3941.027092,-325.35236,0.208080547,0.182617188
815,C,0.3969161,2207.15332,4898.803711,2691.650391,-1239.092671,4152.108754,-391.27206,0.133419488,0.210449219
816,C,0.396190476,3628.344727,4597.338867,968.9941406,-907.4927893,4056.275978,-395.0338,0.022346363,0.187011719
817,C,0.395102041,2885.449219,4306.640625,1421.191406,-316.3048554,3758.162625,-402.85104,0.010631852,0.173828125
818,C,0.36861678,2573.217773,4769.604492,2196.386719,-995.8875036,4070.058154,-394.64053,-0.077760464,0.193359375
819,C,0.397641723,3165.380859,4231.274414,1065.893555,-1037.869059,3898.726287,-398.16956,0.199108904,0.18359375
820,C,0.359909297,3477.612305,4145.141602,667.5292969,-851.0078868,3923.412928,-427.815,0.135723664,0.176269531
821,C,0.408888889,3143.847656,4123.608398,979.7607422,-803.8861464,3848.252352,-383.45825,0.043292928,0.174804688
822,C,0.37877551,2950.048828,4554.272461,1604.223633,-714.7353178,4087.366021,-344.1535,0.01708706,0.188964844
823,C,0.380952381,2250.219727,4059.008789,1808.789063,-415.2891439,3668.854406,-337.83096,0.02234803,0.17578125
824,C,0.375873016,3025.415039,4166.674805,1141.259766,-743.2235796,3844.139429,-335.62375,-0.037651495,0.178222656
825,C,0.346848073,3111.547852,4694.238281,1582.69043,-1033.417775,4069.68224,-379.10193,0.078583537,0.187988281
